,,,,,Загальна інформація,,,,Надходження до місцевих бюджетів (загальний фонд),,,,,,,Частка місцевих податків в дохідній частині бюджету загального фонду ,,,,,,ПДФО та індекс податковспроможності,,,,,,,Акциз,,,,,,Плата за землю,,,,,,Єдиний податок,,,,,,Частка витрати на оплату праці загальнодержавних функцій,,,,,
Київська область,Бориспільський район,Дівичківська,сільська територіальна громада,UA32040070000056247,,4.45,4.367,262.6,55857.15565,42594.70772,-23.7%,8596.33588,8217.23211,5-20,-4.4%,12.68836663,21.7252955,20.4,22.21,20-40,8.9%,1.805950779,4928.4,0,5636.014081,1.593722336,3700.1,0,971.713679,1096.022541,217.1,108.7,100-200,-49.9%,404.6297787,682.2320683,15.31,11.55,менше 25,-24.6%,1119.903145,1339.779706,288.8,317.70,200-500,10.0%,16.51,22.33,30.6%,28.0%,20-30,-8.5%
Донецька область,Краматорський район,Костянтинівська,міська територіальна громада,UA14120070000090878,,75.098,73.979,467.4,536306.2414,342004.4634,-36.2%,81581.07114,80227.1696,50-100,-1.7%,15.26388807,26.82547658,26.8,27.62,20-40,3.1%,0.529707094,0,93353.9,1653.110746,0.551232173,0,92360.1,241.2044441,292.7570992,81.0,55.9,50-100,-31.0%,433.2453445,483.7110737,55.60,72.92,50-100,31.1%,357.4937002,425.8470142,136.9,161.20,100-200,17.7%,19.58,23.01,18.7%,28.0%,20-30,50.2%
Запорізька область,Пологівський район,Розівська,селищна територіальна громада,UA23100230000021603,,8.277,8.107,610.5,81535.25036,63015.92172,-22.7%,10819.9645,9601.58632,5-20,-11.3%,28.92023871,46.00734941,51.28,53.35,більше 40,4.0%,0.842608165,0,1260.8,2629.612911,0.837759727,0,1442.3,322.6449472,456.7214731,87.1,68.6,50-100,-21.3%,1567.676626,2199.707669,307.00,331.94,більше 200,8.1%,1030.131281,1093.250699,261.1,214.00,200-500,-18.0%,19.42,22.30,32.4%,28.0%,20-30,-13.3%
Дніпропетровська область,Нікопольський район,Червоногригорівська,селищна територіальна громада,UA12080150000061416,,12.691,12.511,442.1,93701.10105,53647.47086,-42.7%,10899.56737,13521.18441,5-20,24.1%,16.25260686,31.84508788,32.85,27.50,20-40,-16.3%,0.530985937,0,11729.9,1657.101761,0.627731124,0,9269.6,533.2643654,559.7384251,120.1,93.5,50-100,-22.1%,561.2723845,633.3534582,35.95,40.76,25-50,13.4%,560.5339145,608.0742289,138.5,177.42,100-200,28.1%,14.53,25.23,27.8%,28.1%,20-30,1.0%
Львівська область,Стрийський район,Моршинська,міська територіальна громада,UA46100130000048262,,14.537,14.388,122.2,83638.11536,77259.04451,-7.6%,15636.43134,22758.57144,20-50,45.5%,29.68424795,40.10601544,37.48,37.56,20-40,0.2%,0.860121796,0,1454.2,2684.269478,0.753111912,0,5760.2,149.533022,202.3783829,43.2,44.7,25-50,3.5%,777.5616438,907.0362538,95.89,162.02,100-200,69.0%,552.9105895,657.508138,159.4,192.54,100-200,20.8%,29.32,26.86,33.4%,28.1%,20-30,-15.8%
Київська область,Бориспільський район,Циблівська,сільська територіальна громада,UA32040190000043384,,6.048,5.938,389.4,26353.12346,32621.81822,23.8%,7560.82056,7524.67186,5-20,-0.5%,27.56252511,25.70365889,29.12,28.16,20-40,-3.3%,0.762093994,0,2120.9,2378.344156,0.879049911,0,340.6,334.9095942,347.471215,71.0,51.8,50-100,-27.0%,298.4636445,317.3060931,11.20,18.86,менше 25,68.3%,797.3818068,957.8033962,275.3,274.51,200-500,-0.3%,30.23,26.69,23.6%,28.1%,20-30,19.1%
Житомирська область,Новоград-Волинський район,Ярунська,сільська територіальна громада,UA18080230000071226,,8.018,7.905,256.2,31933.92592,34455.15266,7.9%,6509.25433,7181.33727,5-20,10.3%,34.41556524,33.95130538,45.21,46.60,більше 40,3.1%,0.519036427,0,7657.5,1619.809713,0.573041086,0,7047.9,72.75886474,71.86613797,16.2,16.3,менше 25,0.5%,405.6816867,416.4961757,22.75,21.79,менше 25,-4.2%,933.0988026,1027.866033,275.9,329.14,200-500,19.3%,30.41,22.02,26.7%,28.1%,20-30,5.3%
Рівненська область,Сарненський район,Висоцька,сільська територіальна громада,UA56080050000068593,,5.727,5.694,299.6,36210.53528,18737.29275,-48.3%,4150.12261,5114.65346,5-20,23.2%,10.24432299,25.13833398,27.55,19.83,10-20,-28.0%,0.29082771,0,8717.7,907.6155827,0.39609041,0,7802.1,14.3954501,14.58765335,2.8,3.7,менше 25,33.2%,437.8502617,539.6036646,26.40,20.85,менше 25,-21.0%,169.1186654,238.0467052,57.4,87.92,менше 100,53.2%,18.37,31.33,33.3%,28.2%,20-30,-15.5%
Волинська область,Ковельський район,Люблинецька,селищна територіальна громада,UA07060250000039902,,6.407,6.388,115,37995.89986,19342.21455,-49.1%,4726.55813,4594.08542,менше 5,-2.8%,14.32825558,38.02064599,39.4,35.99,20-40,-8.7%,0.402179271,0,7973.1,1255.121713,0.394225597,0,8777.9,195.0013546,159.1994356,51.6,28.8,25-50,-44.2%,278.7171255,380.3779784,23.24,36.02,25-50,55.0%,531.3731146,708.0360272,190.1,152.90,100-200,-19.5%,13.68,25.75,25.7%,28.2%,20-30,10.0%
Тернопільська область,Чортківський район,Заліщицька,міська територіальна громада,UA61060170000051011,,27.326,26.994,351.9,75658.67812,90285.97191,19.3%,19002.74211,21935.02194,20-50,15.4%,27.73841952,25.70607347,27.17,29.71,20-40,9.3%,0.499823324,0,27351.3,1559.84943,0.514013208,0,28334.3,205.6954256,244.3987817,51.0,46.7,25-50,-8.4%,298.7366496,318.5891761,28.87,30.28,25-50,4.9%,386.3095496,436.0364525,104.2,151.12,100-200,45.0%,25.82,25.12,21.0%,28.2%,20-30,34.4%
Житомирська область,Новоград-Волинський район,Баранівська,міська територіальна громада,UA18080010000090720,,25.688,24.328,602.4,158286.405,89719.40196,-43.3%,21164.28618,21585.77531,20-50,2.0%,13.17123597,28.63862216,30.48,30.55,20-40,0.2%,0.505425153,0,25371.6,1577.331625,0.532461293,0,25229.8,140.0243428,160.5240727,36.2,24.9,менше 25,-31.3%,274.6848154,314.8729678,18.91,8.22,менше 25,-56.5%,507.2303452,662.4341252,166.4,195.07,100-200,17.2%,20.16,24.98,25.6%,28.2%,20-30,10.4%
Хмельницька область,Хмельницький район,Миролюбненська,сільська територіальна громада,UA68040290000010822,,4.154,4.085,214.4,19589.73462,22275.04308,13.7%,4658.40109,6519.41245,5-20,39.9%,50.48736326,40.94270596,37.09,35.67,20-40,-3.8%,0.637722614,0,2730.6,1990.205755,0.62571112,0,3052.3,0.570263789,2.334064862,0.6,0.4,менше 25,-35.7%,1305.315086,1277.47901,26.14,31.75,25-50,21.5%,1042.643755,919.5396074,151.8,315.39,200-500,107.7%,28.29,29.68,31.1%,28.3%,20-30,-9.0%
Дніпропетровська область,Криворізький район,Широківська,селищна територіальна громада,UA12060290000039013,,12.964,12.742,304.3,87925.10644,73931.38917,-15.9%,13453.15042,15247.86912,5-20,13.3%,15.65695225,20.40693088,22.15,24.25,20-40,9.5%,0.769725057,0,4225.6,2402.15919,0.932610196,0,0,166.2712023,168.6503934,38.4,32.6,25-50,-14.9%,470.4023607,484.3889068,14.81,14.00,менше 25,-5.5%,550.7100931,636.4051289,134.6,189.37,100-200,40.7%,16.88,21.65,26.5%,28.3%,20-30,6.9%
Хмельницька область,Кам'янець-Подільський район,Маківська,сільська територіальна громада,UA68020150000089666,,6.782,6.666,106,42537.33154,19396.81778,-54.4%,4096.93992,4331.112,менше 5,5.7%,14.35427169,34.18604013,37.48,41.02,більше 40,9.4%,0.339378555,0,9503.8,1059.133137,0.421957849,0,8655.9,204.8884934,324.2277701,59.8,40.7,25-50,-31.9%,298.7341664,343.2778376,2.86,3.22,менше 25,12.5%,513.4614315,577.3094425,154.1,221.14,200-500,43.5%,15.57,27.24,31.4%,28.3%,20-30,-9.7%
Вінницька область,Жмеринський район,Мурафська,сільська територіальна громада,UA05060090000058521,,11.716,11.56,191.6,68998.1339,33766.29383,-51.1%,6187.38185,7136.01006,5-20,15.3%,13.88436711,32.15720116,28.46,34.99,20-40,22.9%,0.47283575,0,12508.7,1475.626567,0.412656178,0,15305.4,151.8410581,175.2627648,36.8,28.2,25-50,-23.5%,390.9026123,435.1077968,6.58,5.63,менше 25,-14.4%,380.5071549,426.0411966,88.9,139.45,100-200,56.9%,15.43,21.84,29.6%,28.4%,20-30,-4.1%
Хмельницька область,Шепетівський район,Славутська,міська територіальна громада,UA68060270000042174,,35.924,35.752,72.7,259539.922,207838.1144,-19.9%,46699.64607,49843.09958,20-50,6.7%,22.68001653,34.77067509,32.91,32.00,20-40,-2.8%,0.829335657,0,6369.1,2588.192045,0.814196936,0,8367,318.6472962,340.8521357,70.6,57.9,50-100,-18.0%,751.4581848,876.8789098,133.68,114.37,100-200,-14.4%,658.9961899,821.3836414,203.0,242.02,200-500,19.2%,19.71,24.46,27.0%,28.4%,20-30,5.0%
Запорізька область,Пологівський район,Воздвижівська,сільська територіальна громада,UA23100030000016840,,2.82,2.755,246.2,31055.5596,23886.981,-23.1%,4314.66844,4004.65598,менше 5,-7.2%,27.7601681,38.4514249,43.75,46.77,більше 40,6.9%,1.379111666,1245.2,0,4303.933893,1.318516986,1037.3,0,32.81371808,35.98261522,7.2,5.8,менше 25,-19.1%,1014.351536,1238.254391,30.17,31.27,25-50,3.7%,1879.877933,1900.776066,334.0,334.31,200-500,0.1%,21.87,26.24,30.9%,28.4%,20-30,-8.0%
Рівненська область,Вараський район,Антонівська,сільська територіальна громада,UA56020010000027956,,5.677,5.699,117,8655.67589,10806.49867,24.8%,2450.80814,3078.74605,менше 5,25.6%,36.72526675,30.27291984,31.9,33.60,20-40,5.3%,0.23483047,0,9431.1,732.8593062,0.225668325,0,10431.6,8.838397605,10.84340642,2.5,2.4,менше 25,-1.7%,240.2609579,271.3933205,46.69,93.90,50-100,101.1%,262.2877285,234.1201561,60.8,67.19,менше 100,10.6%,27.28,27.85,25.5%,28.4%,20-30,11.5%
Херсонська область,Херсонський район,Білозерська,селищна територіальна громада,UA65100010000048953,,22.141,21.926,407.5,127165.4652,71314.3196,-43.9%,14089.30183,14593.79776,5-20,3.6%,15.62795589,28.55468027,27.67,25.00,20-40,-9.6%,0.588887292,0,17371.7,1837.800402,0.582963045,0,18998.2,140.4162607,129.5338535,35.1,30.4,25-50,-13.6%,302.1418042,311.8036162,12.34,10.52,менше 25,-14.7%,570.3524552,590.184813,132.6,132.02,100-200,-0.4%,13.05,25.15,26.0%,28.5%,20-30,9.5%
Вінницька область,Могилів-Подільський район,Чернівецька,селищна територіальна громада,UA05080090000089922,,15.883,15.561,426,61866.14229,58618.09565,-5.3%,10862.87324,12079.20374,5-20,11.2%,31.02210825,37.67103074,38.31,37.09,20-40,-3.2%,0.544428876,0,14153.1,1699.054507,0.576665798,0,13688.5,87.68749357,101.3097276,23.6,15.3,менше 25,-35.1%,535.9371417,638.0147641,8.36,9.19,менше 25,10.0%,653.616108,753.7624657,149.3,169.63,100-200,13.6%,23.06,22.96,26.9%,28.5%,20-30,6.0%
Тернопільська область,Тернопільський район,Підгаєцька,міська територіальна громада,UA61040370000060170,,16.785,16.483,474.9,66967.19283,84069.04717,25.5%,13290.09336,17654.72891,5-20,32.8%,24.40778509,23.49079354,30.19,28.04,20-40,-7.1%,0.851832072,0,2022.6,2658.398894,0.841842033,0,2606.1,151.2746352,160.79035,32.2,29.3,25-50,-9.2%,413.9941007,538.6283886,5.99,10.11,менше 25,68.8%,524.1755717,607.3589724,151.5,192.20,100-200,26.9%,26.95,20.20,26.5%,28.5%,20-30,7.8%
Миколаївська область,Первомайський район,Благодатненська,сільська територіальна громада,UA48080030000050927,,5.792,5.688,403.4,65549.5673,46517.00066,-29.0%,8364.11978,7437.62224,5-20,-11.1%,21.59047151,30.19550655,50.54,32.74,20-40,-35.2%,1.500907248,3634,0,4684.033741,1.391107441,2816.5,0,100.9240248,128.6463961,28.8,27.0,25-50,-6.0%,820.7357273,866.1954847,13.65,13.66,менше 25,0.0%,1581.431952,1542.989308,473.2,269.14,200-500,-43.1%,13.56,18.79,26.3%,28.5%,20-30,8.6%
Вінницька область,Хмільницький район,Жданівська,сільська територіальна громада,UA05120030000061384,,5.592,5.49,167.5,42068.37966,34789.83767,-17.3%,6206.12507,7838.93794,5-20,26.3%,21.00229258,30.69431769,36.09,37.84,20-40,4.8%,1.098560255,0,0,3428.388602,1.066452457,0,0,19.70302939,20.41757482,4.7,5.0,менше 25,7.0%,579.3238077,719.8661382,7.22,8.28,менше 25,14.8%,757.6331042,831.2442264,212.8,266.07,200-500,25.0%,21.33,25.89,34.0%,28.5%,20-30,-16.2%
Закарпатська область,Хустський район,Горінчівська,сільська територіальна громада,UA21120050000055437,,12.832,12.785,223.6,21088.74813,17436.61286,-17.3%,4403.73123,5069.99888,5-20,15.1%,22.86906738,28.49950114,33.04,30.25,20-40,-8.4%,0.200938762,0,22395.8,627.0900094,0.23259957,0,23153.2,6.165628897,7.118294095,1.7,1.6,менше 25,-4.4%,72.13019093,95.92123973,2.44,6.32,менше 25,158.7%,288.3112952,274.46456,100.2,103.44,100-200,3.2%,22.82,40.22,36.1%,28.5%,20-30,-21.0%
Вінницька область,Могилів-Подільський район,Мурованокуриловецька,селищна територіальна громада,UA05080070000010150,,21.329,20.873,738.8,86309.46446,81460.68476,-5.6%,14918.67383,17102.55809,5-20,14.6%,30.57360323,32.82517736,33.59,30.32,20-40,-9.7%,0.618156706,0,15073.1,1929.144438,0.592107657,0,17513.7,171.4584053,207.781164,41.5,33.2,25-50,-19.9%,595.393822,574.0529457,11.13,10.15,менше 25,-8.8%,609.8353494,665.2614239,136.1,159.76,100-200,17.4%,24.46,24.09,22.6%,28.6%,20-30,26.6%
Волинська область,Луцький район,Торчинська,селищна територіальна громада,UA07080270000067148,,13.402,13.534,286.8,89837.44537,55496.12078,-38.2%,10510.84317,12244.55307,5-20,16.5%,14.73335001,25.5683313,26.76,24.14,20-40,-9.8%,0.699382756,0,6724.7,2182.634825,0.701370337,0,7303.7,110.4404178,164.0505859,23.8,36.9,25-50,55.0%,399.7291829,426.2355686,11.75,18.76,менше 25,59.7%,530.7033189,512.4498067,113.2,146.86,100-200,29.7%,18.12,22.24,29.7%,28.6%,20-30,-3.6%
Дніпропетровська область,Криворізький район,Гречаноподівська,сільська територіальна громада,UA12060070000012840,,4.634,4.512,257,71616.24745,60751.16747,-15.2%,14227.39954,15606.48573,5-20,9.7%,65.44334227,84.35298964,87.45,85.37,більше 40,-2.4%,0.45384575,0,5188.5,1416.362542,0.511174585,0,4780.5,12.07460283,14.47872434,3.2,3.1,менше 25,-3.3%,9398.11769,10601.1901,14.80,76.47,50-100,416.8%,628.6361829,662.9816906,123.3,107.48,100-200,-12.8%,18.08,24.15,25.9%,28.7%,20-30,10.6%
Миколаївська область,Миколаївський район,Веснянська,сільська територіальна громада,UA48060030000055210,,8.81,8.719,352.7,65243.92148,58017.22313,-11.1%,10806.2403,11108.51216,5-20,2.8%,25.0568794,30.7380004,31.86,28.88,20-40,-9.4%,0.977984688,0,0,3052.09618,0.932398303,0,0,601.3619982,990.3233732,215.9,103.9,100-200,-51.9%,982.2187884,1012.294461,65.94,48.42,25-50,-26.6%,772.397274,875.4560967,197.7,207.09,200-500,4.7%,19.60,21.26,25.6%,28.7%,20-30,12.0%
Харківська область,Ізюмський район,Борівська,селищна територіальна громада,UA63040050000042831,,15.972,15.702,877.7,86849.49766,87821.97065,1.1%,17414.96428,14788.39177,5-20,-15.1%,33.87765584,35.09937374,42.04,34.38,20-40,-18.2%,0.624069046,0,13100.8,1947.595678,0.740409611,0,7271.2,72.23830888,113.9772598,29.5,15.4,менше 25,-47.7%,620.8963738,664.9354898,49.90,32.39,25-50,-35.1%,892.4237046,1112.799462,297.2,215.62,200-500,-27.5%,22.04,23.24,26.8%,28.8%,20-30,7.5%
Волинська область,Ковельський район,Турійська,селищна територіальна громада,UA07060430000041345,,18.613,18.451,869,114080.3263,80638.24417,-29.3%,16725.07434,17737.38416,5-20,6.1%,18.09150196,33.19893257,38.7,33.17,20-40,-14.3%,0.529008061,0,17269.6,1650.929204,0.564612418,0,16820.7,196.2883223,226.464891,46.6,37.5,25-50,-19.6%,511.987218,640.7148601,37.39,25.16,25-50,-32.7%,485.8118622,573.834621,148.7,155.29,100-200,4.4%,17.79,23.14,26.2%,28.8%,20-30,9.9%
Хмельницька область,Кам'янець-Подільський район,Гуківська,сільська територіальна громада,UA68020010000017180,,2.711,2.662,95.4,18918.61987,11657.24539,-38.4%,2672.09574,2975.22809,менше 5,11.3%,22.97738212,40.43475386,43.36,57.21,більше 40,31.9%,0.603338343,0,2014.6,1882.899265,0.63103529,0,1949.4,13.26125368,12.31186821,2.9,3.7,менше 25,26.8%,393.1283676,321.6970011,2.30,2.90,менше 25,26.5%,1179.340596,1409.360487,352.3,394.83,200-500,12.1%,19.90,30.19,32.5%,28.8%,20-30,-11.5%
